Position,Author,Work,PD,Suitable for SE,Exists on SE
1,Ernest Poole,His Family,Yes,Yes,ernest-poole/his-family
2,Booth Tarkington,The Magnificent Ambersons,Yes,Yes,booth-tarkington/the-magnificent-ambersons
3,Edith Wharton,The Age of Innocence,Yes,Yes,edith-wharton/the-age-of-innocence
4,Booth Tarkington,Alice Adams,Yes,Yes,booth-tarkington/alice-adams
5,Willa Cather,One of Ours,Yes,Yes,willa-cather/one-of-ours
6,Margaret Wilson,The Able McLaughlins,Yes,Yes,margaret-wilson/the-able-mclaughlins
7,Edna Ferber,So Big,Yes,Yes,edna-ferber/so-big
8,Sinclair Lewis,Arrowsmith,Yes,Yes,sinclair-lewis/arrowsmith
9,Louis Bromfield,Early Autumn,2022,Yes,
10,Thornton Wilder,The Bridge of San Luis Rey,2023,Yes,
11,Julia Peterkin,Scarlet Sister Mary,2024,Yes,
12,Oliver La Farge,Laughing Boy,2025,Yes,
13,Margaret Ayer Barnes,Years of Grace,2026,Yes,
14,Pearl S. Buck,The Good Earth,2027,Yes,
15,T. S. Stribling,The Store,2028,Yes,
16,Caroline Miller,Lamb in His Bosom,2029,Yes,
17,Josephine Winslow Johnson,Now in November,2030,Yes,
