1,John Bunyan,The Pilgrim’s Progress,Yes,Yes,john-bunyan/the-pilgrims-progress
2,Daniel Defoe,Robinson Crusoe,Yes,Yes,daniel-defoe/the-life-and-adventures-of-robinson-crusoe
3,Jonathan Swift,Gulliver’s Travels,Yes,Yes,jonathan-swift/gullivers-travels
4,Samuel Richardson,Clarissa,Yes,Yes,samuel-richardson/clarissa-harlowe
5,Henry Fielding,Tom Jones,Yes,Yes,henry-fielding/the-history-of-tom-jones-a-foundling
6,Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",Yes,Yes,laurence-sterne/the-life-and-opinions-of-tristram-shandy-gentleman
7,Jane Austen,Emma,Yes,Yes,jane-austen/emma
8,Mary Shelley,Frankenstein,Yes,Yes,mary-shelley/frankenstein
9,Thomas Love Peacock,Nightmare Abbey,Yes,Yes,thomas-love-peacock/nightmare-abbey
10,Edgar Allan Poe,The Narrative of Arthur Gordon Pym of Nantucket,Yes,Yes,edgar-allan-poe/the-narrative-of-arthur-gordon-pym-of-nantucket
11,Benjamin Disraeli,Sybil,Yes,Yes,benjamin-disraeli/sybil
12,Charlotte Brontë,Jane Eyre,Yes,Yes,charlotte-bronte/jane-eyre
13,Emily Brontë,Wuthering Heights,Yes,Yes,emily-bronte/wuthering-heights
14,William Thackeray,Vanity Fair,Yes,Yes,william-makepeace-thackeray/vanity-fair
15,Charles Dickens,David Copperfield,Yes,Yes,charles-dickens/david-copperfield
16,Nathaniel Hawthorne,The Scarlet Letter,Yes,Yes,nathaniel-hawthorne/the-scarlet-letter
17,Herman Melville,Moby-Dick,Yes,Yes,herman-melville/moby-dick
18,Lewis Carroll,Alice’s Adventures in Wonderland,Yes,Yes,lewis-carroll/alices-adventures-in-wonderland/john-tenniel
19,Wilkie Collins,The Moonstone,Yes,Yes,wilkie-collins/the-moonstone
20,Louisa May Alcott,Little Women,Yes,Yes,louisa-may-alcott/little-women
21,George Eliot,Middlemarch,Yes,Yes,george-eliot/middlemarch
22,Anthony Trollope,The Way We Live Now,Yes,Yes,anthony-trollope/the-way-we-live-now
23,Mark Twain,The Adventures of Huckleberry Finn,Yes,Yes,mark-twain/the-adventures-of-huckleberry-finn
24,Robert Louis Stevenson,Kidnapped,Yes,Yes,robert-louis-stevenson/kidnapped
25,Jerome K Jerome,Three Men in a Boat,Yes,Yes,jerome-k-jerome/three-men-in-a-boat
26,Arthur Conan Doyle,The Sign of Four,Yes,Yes,arthur-conan-doyle/the-sign-of-the-four
27,Oscar Wilde,The Picture of Dorian Gray,Yes,Yes,oscar-wilde/the-picture-of-dorian-gray
28,George Gissing,New Grub Street,Yes,Yes,george-gissing/new-grub-street
29,Thomas Hardy,Jude the Obscure,Yes,Yes,thomas-hardy/jude-the-obscure
30,Stephen Crane,The Red Badge of Courage,Yes,Yes,stephen-crane/the-red-badge-of-courage
