Author,Work,PD,Suitable for SE,Exists on SE
Daniel Defoe,Excerpts from Robinson Crusoe,Yes,Yes,daniel-defoe/the-life-and-adventures-of-robinson-crusoe
Rudyard Kipling,“Mowgli’s Brothers” from The Jungle Book,Yes,Yes,rudyard-kipling/the-jungle-book
Victor Hugo,“The Battle with the Cannon” from Ninety-Three,Yes,Yes,
Guy de Maupassant,Short story “Two Friends”,Yes,Yes,
Ernest Hemingway,Short story “The Killers”,2023,Yes,
Walter Scott,“The Two Drovers” from Chronicles of the Canongate,Yes,Yes,
Joseph Conrad,Short story “Youth”,Yes,Yes,
Voltaire,Novella “Micromégas”,Yes,Yes?,
Oscar Wilde,“The Happy Prince”,Yes,Yes,oscar-wilde/childrens-stories
Edgar Allan Poe,"“The Telltale Heart”;
“The Masque of the Red Death”",Yes,Yes,edgar-allan-poe/short-fiction
Robert Louis Stevenson,Dr. Jekyll and Mr. Hyde,Yes,Yes,robert-louis-stevenson/the-strange-case-of-dr-jekyll-and-mr-hyde
Mark Twain,Short story “The Man That Corrupted Hadleyburg”,Yes,Yes,
Charles Dickens,“Trial of Bardell against Pickwick” from The Pickwick Papers,Yes,Yes,
Nikolai Gogol,Short story “The Mantle”,Yes,Yes,nikolai-gogol/short-fiction
Samuel Butler,“Customs and Opinions of the Erewhonians” from Erewhon,Yes,Yes,samuel-butler/erewhon
Sherwood Anderson,Short story “I’m a Fool”,Yes,Yes,
Anonymous,Aucassin and Nicolette,Yes,Yes?,
Stephen Crane,Short story “The Open Boat”,Yes,Yes,
Herman Melville,Incomplete novella “Billy Budd”,Yes,No,—
Ivan Bunin,Short story “The Gentleman from San Francisco”,Yes,Yes,ivan-bunin/short-fiction/s-s-koteliansky_d-h-lawrence_leonard-woolf_bernard-guilbert-guerney_the-russian-review_natalie-a-duddington
Nathaniel Hawthorne,Short story “Rappaccini’s Daughter”,Yes,Yes,
George Eliot,Novella “The Lifted Veil”,Yes,Yes,
Lucius Apuleius,“Cupid and Psyche” from The Golden Ass,Yes,Yes,
Ivan Turgenev,Novella “First Love”,Yes,Yes,
Fyodor Dostoevsky,Short story “White Nights”,Yes,Yes,
John Galsworthy,Short story “The Apple‐Tree”,Yes,Yes,
Gustave Flaubert,Short story “Saint Julian the Hospitalier”,Yes,Yes,gustave-flaubert/short-fiction/m-walter-dunne
F. Scott Fitzgerald,Novella “The Diamond as Big as the Ritz”,Yes,Yes,
Honoré de Balzac,Short story “A Passion in the Desert”,Yes,Yes,
Anton Chekhov,Short story “The Darling”,Yes,Yes,anton-chekhov/short-fiction/constance-garnett
Isaac Singer,Short story “The Spinoza of Market Street”,2057,—,—
Alexander Pushkin,Short story “The Queen of Spades”,Yes,Yes,
D. H. Lawrence,Short story “The Rocking‐Horse Winner”,2022,Yes,
Henry James,Short story “The Pupil”,Yes,Yes,
Thomas Mann,Novella “Mario and the Magician”,2025,Yes,
Isak Dinesen,Short story “Sorrow‐Acre”,2038,—,—
Leo Tolstoy,Short stories “The Death of Ivan Ilyich”; “The Three Hermits”; “What Men Live By”,Yes,Yes,leo-tolstoy/short-fiction/louise-maude_aylmer-maude_nathan-haskell-dole_constance-garnett_j-d-duff_leo-weiner_r-s-townsend_hagberg-wright_benjamin-tucker_everymans-library_vladimir-chertkov_isabella-fyvie-mayo
