Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
C. S. Forester,,The Happy Return,1937,Horatio Hornblower,1,N,
C. S. Forester,,A Ship of the Line,1938,Horatio Hornblower,2,N,
C. S. Forester,,Flying Colours,1938,Horatio Hornblower,3,N,
C. S. Forester,,Hornblower Stories,1941,Horatio Hornblower,4,N,
C. S. Forester,,The Commodore,1945,Horatio Hornblower,5,N,
C. S. Forester,,Lord Hornblower,1946,Horatio Hornblower,6,N,
C. S. Forester,,Mr. Midshipman Hornblower,1950,Horatio Hornblower,7,N,
C. S. Forester,,Lieutenant Hornblower,1952,Horatio Hornblower,8,N,
C. S. Forester,,Hornblower and the Atropos,1953,Horatio Hornblower,9,N,
C. S. Forester,,Hornblower in the West Indies,1958,Horatio Hornblower,10,N,
C. S. Forester,,Hornblower and the Hotspur,1962,Horatio Hornblower,11,N,
C. S. Forester,,Hornblower and the Crisis,1967,Horatio Hornblower,12,N,
