Author,Translator,Title of book,Year published,Collection name,Number in collection,On Wanted List?,Wanted List notes
Ian McEwan,,Atonement,2001,The BBC’s 100 Greatest British Novels (2015),15,N,
Virginia Woolf,,The Waves,1931,The BBC’s 100 Greatest British Novels (2015),16,N,
Kazuo Ishiguro,,The Remains of the Day,1989,The BBC’s 100 Greatest British Novels (2015),18,N,
Doris May Lessing,,The Golden Notebook,1962,The BBC’s 100 Greatest British Novels (2015),24,N,
Zadie Smith,,White Teeth,2000,The BBC’s 100 Greatest British Novels (2015),25,N,
J. R. R. Tolkien,,The Fellowship of the Ring,1954,The BBC’s 100 Greatest British Novels (2015),26,N,
J. R. R. Tolkien,,The Two Towers,1954,The BBC’s 100 Greatest British Novels (2015),26,N,
J. R. R. Tolkien,,The Return of the King,1955,The BBC’s 100 Greatest British Novels (2015),26,N,
Monica Ali,,Brick Lane,2003,The BBC’s 100 Greatest British Novels (2015),29,N,
Graham Greene,,The End of the Affair,1951,The BBC’s 100 Greatest British Novels (2015),31,N,
Kazuo Ishiguro,,Never Let Me Go,2005,The BBC’s 100 Greatest British Novels (2015),34,N,
Tom McCarthy,,Remainder,2005,The BBC’s 100 Greatest British Novels (2015),35,N,
Anthony Powell,,A Dance to the Music of Time,1951,The BBC’s 100 Greatest British Novels (2015),36,N,
Jeanette Winterson,,The Passion,1987,The BBC’s 100 Greatest British Novels (2015),38,N,
Julian Barnes,,The Sense of an Ending,2011,The BBC’s 100 Greatest British Novels (2015),39,N,
Graham Greene,,Brighton Rock,1938,The BBC’s 100 Greatest British Novels (2015),42,N,
Alan Hollinghurst,,The Swimming-Pool Library,1988,The BBC’s 100 Greatest British Novels (2015),43,N,
Hilary Mantel,,Wolf Hall,2009,The BBC’s 100 Greatest British Novels (2015),44,N,
Sarah Waters,,The Little Stranger,2009,The BBC’s 100 Greatest British Novels (2015),45,N,
Salman Rushdie,,Midnight’s Children,1981,The BBC’s 100 Greatest British Novels (2015),46,N,
Kingsley Amis,,Lucky Jim,1954,The BBC’s 100 Greatest British Novels (2015),48,N,
A. S. Byatt,,Possession,1990,The BBC’s 100 Greatest British Novels (2015),49,N,
Jean Rhys,,Wide Sargasso Sea,1966,The BBC’s 100 Greatest British Novels (2015),53,N,
Zadie Smith,,NW,2012,The BBC’s 100 Greatest British Novels (2015),54,N,
Jeanette Winterson,,Oranges Are Not the Only Fruit,1985,The BBC’s 100 Greatest British Novels (2015),56,N,
Henry Green,,Loving,1945,The BBC’s 100 Greatest British Novels (2015),58,N,
Alan Hollinghurst,,The Line of Beauty,2004,The BBC’s 100 Greatest British Novels (2015),59,N,
Iris Murdoch,,"The Sea, the Sea",1978,The BBC’s 100 Greatest British Novels (2015),61,N,
